INFO  - 2014-06-06 10:54:03.843; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[3203e2f161a71a21ac30c5cdb7915e66 (1470150574176468992)]} 0 2
INFO  - 2014-06-06 10:54:03.888; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[0148ea816cbde4ec3d424b4f574c9ac8 (1470150574223654912)]} 0 2
INFO  - 2014-06-06 10:54:03.891; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[73a05444b7f32be8cc4826e80f4cf53c (1470150574223654913)]} 0 4
INFO  - 2014-06-06 10:54:03.929; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[8cafb9420833733bc3a04ff2ad449edf (1470150574266646528)]} 0 2
INFO  - 2014-06-06 10:54:04.035; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d9d582b3435c55a063241e3f35e3d3c9 (1470150574377795584)]} 0 2
INFO  - 2014-06-06 10:54:04.113; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[aa4be4239a18b2eb57126d380cd88088 (1470150574459584512)]} 0 2
INFO  - 2014-06-06 10:54:04.207; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[a0ae66a98b5c634fae6455eaafa103f8 (1470150574557102080)]} 0 2
INFO  - 2014-06-06 10:54:04.316; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ce2e9ecc718f9d98ac930871cd4bc3f7 (1470150574671396864)]} 0 5
INFO  - 2014-06-06 10:54:04.325; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ed30276469501bc3bd0d5d375a7674fb (1470150574679785472)]} 0 4
INFO  - 2014-06-06 10:54:04.407; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[40dcd7d5380b3f1c7bf561b3124ece43 (1470150574766817280)]} 0 2
INFO  - 2014-06-06 10:54:04.444; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[c8c81e2e1c3719da0303108b99f8f1be (1470150574806663168)]} 0 2
INFO  - 2014-06-06 10:54:04.537; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[355b8d2bdcff5f942066f493d8d97f9d (1470150574904180736)]} 0 2
INFO  - 2014-06-06 10:54:04.658; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[adbac62b06f7261e57f57222f8cfbff2 (1470150575031058432)]} 0 2
INFO  - 2014-06-06 10:54:04.738; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[28785b25541b12852aa22be2508c5544 (1470150575113895936)]} 0 6
INFO  - 2014-06-06 10:54:04.862; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[d7573c06c2b9383a106b0d74790325f2 (1470150575244967936)]} 0 2
INFO  - 2014-06-06 10:54:04.924; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[85160a456142cc5573035e955a14c834 (1470150575307882496)]} 0 4
INFO  - 2014-06-06 10:54:04.959; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[5eaf70bb8bad6c103f6669039f8fb054 (1470150575345631232)]} 0 2
INFO  - 2014-06-06 10:54:05.303; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[7f143db5e5edeb161b40593747f11648 (1470150575705292800)]} 0 5
INFO  - 2014-06-06 10:54:05.342; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[ee2694d4921438b426815b3ed4afaa80 (1470150575741992960)]} 0 7
INFO  - 2014-06-06 10:54:05.558; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[3cdf9c68dee5169070b7bf5ae9483f51 (1470150575974776832)]} 0 2
INFO  - 2014-06-06 10:54:05.714; org.apache.solr.update.processor.LogUpdateProcessor; [ezp-default] webapp=/solr path=/update params={} {add=[6ab8617b235ec38dbd77a562588ec344 (1470150576137306112)]} 0 2
